0 annotation: 97
1 annotation: 99
2 annotation: 97
3 annotation: 96
4 annotation: 97
5 annotation: 95
6 annotation: 94
7 annotation: 95
8 annotation: 95
9 annotation: 97
10 annotation: 96
11 annotation: 95
12 annotation: 96
13 annotation: 96
14 annotation: 94
15 annotation: 96
16 annotation: 99
17 annotation: 98
18 annotation: 98
19 annotation: 98
20 annotation: 95
21 annotation: 95
22 annotation: 96
23 annotation: 94
24 annotation: 95
Unannotated,  CCBS,   5,   0,   9,   146.026,   415.820,       637
Unannotated, PSIPP,   5,   0,   9,   190.517,   442.332,      1545
  Annotated, PSIPP,   5,   0,  10,    99.393,   275.588,         1
Unannotated,  CCBS,   5,   0,  10,    99.393,   275.588,         2
Unannotated, PSIPP,   5,   0,  10,    99.393,   275.588,      1348
  Annotated, PSIPP,   5,   0,  14,   170.138,   525.241,         1
Unannotated,  CCBS,   5,   0,  14,   169.808,   525.177,        26
Unannotated, PSIPP,   5,   0,  14,   170.138,   525.241,      2523
  Annotated, PSIPP,   5,   0,  15,    70.804,   217.285,         1
Unannotated,  CCBS,   5,   0,  15,    70.804,   217.285,         2
Unannotated, PSIPP,   5,   0,  15,    70.804,   217.285,      1501
  Annotated, PSIPP,   5,   0,  16,   158.170,   284.002,         1
Unannotated,  CCBS,   5,   0,  16,   158.926,   262.034,         7
Unannotated, PSIPP,   5,   0,  16,   158.170,   284.002,      1913
  Annotated, PSIPP,   5,   0,  18,   134.541,   404.637,         1
Unannotated,  CCBS,   5,   0,  18,   134.612,   404.572,        64
Unannotated, PSIPP,   5,   0,  18,   134.541,   404.637,      2450
  Annotated, PSIPP,   5,   0,  20,   132.786,   407.467,         1
Unannotated,  CCBS,   5,   0,  20,   133.328,   406.667,        38
Unannotated, PSIPP,   5,   0,  20,   132.786,   407.467,      2044
  Annotated, PSIPP,   5,   0,  21,   146.527,   284.368,         1
Unannotated,  CCBS,   5,   0,  21,   146.527,   284.368,         2
Unannotated, PSIPP,   5,   0,  21,   146.527,   284.368,      1854
  Annotated, PSIPP,   5,   0,  22,   206.012,   450.941,         1
Unannotated,  CCBS,   5,   0,  22,   142.303,   388.651,         5
Unannotated, PSIPP,   5,   0,  22,   206.012,   450.941,      1769
  Annotated, PSIPP,   5,   0,  23,   137.710,   460.153,         1
Unannotated,  CCBS,   5,   0,  23,   137.710,   459.286,         3
Unannotated, PSIPP,   5,   0,  23,   137.710,   460.153,      2551
  Annotated, PSIPP,   6,   0,   1,   100.788,   251.013,         1
Unannotated,  CCBS,   6,   0,   1,    99.476,   250.805,         4
